,restaurant,url,distance,star,num_reviews,city,price_range,cuisine,cuisine_label
0,Sector 17,https://www.doordash.com/store/884779/?pickup=false,0.9,4,640,Branpton,$$,South Asian,Indian
1,Golden Palace Restaurant,https://www.doordash.com/store/332454/?pickup=false,2,4,301,Branpton,$$,East Asian,Chinese
2,McDonald's,https://www.doordash.com/store/1140537/?pickup=false,1,4.2,890,Branpton,$$,North American,American
3,San Francisco Place,https://www.doordash.com/store/205349/?pickup=false,0.4,4.4,109,Branpton,$,European,Italian
4,THE BURGER BROS,https://www.doordash.com/store/940617/?pickup=false,0.09,4.5,481,Branpton,$$,North American,American
5,Lazeez Shawarma,https://www.doordash.com/store/567102/?pickup=false,0.9,3.7,730,Branpton,$$,,
6,Fresh Tandoori,https://www.doordash.com/store/303233/?pickup=false,0.9,3.8,1400,Branpton,$$,South Asian,Indian
7,Henry's Fish & Chips,https://www.doordash.com/store/443240/?pickup=false,0.7,4.5,293,Branpton,$$,,
8,Pho Viet Nam Restaurant,https://www.doordash.com/store/205291/?pickup=false,0.04,4.2,50,Branpton,$$,Southeast Asian,Vietnamese
9,Church's Chicken Canada,https://www.doordash.com/store/872402/?pickup=false,1.9,4,1700,Branpton,$,,
10,Punjabi Chaap Corner Canada,https://www.doordash.com/store/1767716/?pickup=false,0.7,4.1,411,Branpton,$$,South Asian,Indian
11,Burger King,https://www.doordash.com/store/60362/?pickup=false,1.5,4,2400,Branpton,$,North American,American
12,Shawarma King,https://www.doordash.com/store/484779/?pickup=false,0.8,4,600,Branpton,$$,Middle Eastern,Middle Eastern
13,Joe's Pizzeria and Spaghetti House,https://www.doordash.com/store/443276/?pickup=false,0.5,4.3,122,Branpton,$$,European,European
14,Kejjis,https://www.doordash.com/store/525423/?pickup=false,0.4,4.4,107,Branpton,$$,African,African
15,Karachi Kitchen,https://www.doordash.com/store/205355/?pickup=false,1.7,4,980,Branpton,$,South Asian,Indian
16,Munchers,https://www.doordash.com/store/1085408/?pickup=false,1,4.3,353,Branpton,$$,,
17,Hakka Village Chinese Restaurant,https://www.doordash.com/store/60279/?pickup=false,1.4,4.2,1800,Branpton,$,East Asian,Chinese
18,7-Eleven,https://www.doordash.com/convenience/store/992614/?pickup=false,0.2,4.1,540,Branpton,$$,,
19,Spicy Island Jerk,https://www.doordash.com/store/567012/?pickup=false,0.2,3.6,19,Branpton,$$,North American,Caribbean
20,Shawarma Corner,https://www.doordash.com/store/205191/?pickup=false,1,4.5,132,Branpton,$,Middle Eastern,Middle Eastern
21,Dairy Queen,https://www.doordash.com/store/1615538/?pickup=false,0.4,4.6,353,Branpton,$$,,
22,Shawarma Point,https://www.doordash.com/store/1130961/?pickup=false,0.7,3.9,31,Branpton,$$,,
23,Shake Therapy,https://www.doordash.com/store/2535823/?pickup=false,0.06,4.6,28,Branpton,$$,,
24,RDs Southern BBQ,https://www.doordash.com/store/443364/?pickup=false,0.5,4.6,197,Branpton,$$,,
25,Angeethi Asli Dhaba,https://www.doordash.com/store/443223/?pickup=false,0.5,4.2,183,Branpton,$$,South Asian,Indian
26,Church's Texas Chicken,https://www.doordash.com/store/1464604/?pickup=false,1.2,4.5,299,Branpton,$$,North American,American
27,Burrito Boyz,https://www.doordash.com/store/205278/?pickup=false,0.8,4.4,404,Branpton,$$,,
28,Sunrise Caribbean Restaurant,https://www.doordash.com/store/205246/?pickup=false,1.7,4.3,321,Branpton,$,North American,Caribbean
29,Bombay Blue,https://www.doordash.com/store/2423883/?pickup=false,0.5,4.7,65,Branpton,$$,South Asian,Indian
30,Pizza Depot,https://www.doordash.com/store/783263/?pickup=false,2.4,4.1,167,Branpton,$,North American,American
31,Yum Shawarma,https://www.doordash.com/store/247731/?pickup=false,2.3,4.3,620,Branpton,$$,,
32,Tadka King,https://www.doordash.com/store/2491717/?pickup=false,0.06,4,47,Branpton,$$,,
33,Fresh Burrito,https://www.doordash.com/store/205362/?pickup=false,0.8,4.1,415,Branpton,$$,North American,Mexican
34,D Spot Dessert Cafe,https://www.doordash.com/store/2571356/?pickup=false,2.3,4.7,52,Branpton,$$,,
35,Nova Grill & Bakery,https://www.doordash.com/store/1555360/?pickup=false,0.2,4.6,38,Branpton,$$,,
36,Kelseys Original Roadhouse,https://www.doordash.com/store/205359/?pickup=false,1.9,4.3,750,Branpton,$$,,
37,Harvey's,https://www.doordash.com/store/205292/?pickup=false,0.7,4.2,760,Branpton,$$,,
38,Balista,https://www.doordash.com/store/2391176/?pickup=false,1.1,4.3,29,Branpton,$$,,
39,Silver Spoon,https://www.doordash.com/store/205215/?pickup=false,1.2,3.8,750,Branpton,$,South Asian,Indian
40,Paradise Chicken,https://www.doordash.com/store/969535/?pickup=false,0.9,4.4,126,Branpton,$$,,
41,Heritage Fish & Chips,https://www.doordash.com/store/60224/?pickup=false,1.6,4.5,299,Branpton,$$,,
42,Osmow's,https://www.doordash.com/store/537072/?pickup=false,0.8,4.2,1000,Branpton,$$,Latin American & Global Fusion,Mediterranean
43,Maguires Irish Pub,https://www.doordash.com/store/894225/?pickup=false,1.2,4.3,39,Branpton,$$,European,Irish
44,Ice Flame,https://www.doordash.com/store/1364946/?pickup=false,0.9,4.6,136,Branpton,$$,,
45,Subway,https://www.doordash.com/store/455065/?pickup=false,0.8,4.2,119,Branpton,$,,
46,Indian Curry Express,https://www.doordash.com/store/787603/?pickup=false,0.04,4.2,99,Branpton,$$,South Asian,Indian
47,Quik Chik,https://www.doordash.com/store/863993/?pickup=false,1.7,4.3,130,Branpton,$$,,
48,Btown Pizza,https://www.doordash.com/store/22919059/?pickup=false,0.8,4.2,88,Branpton,$$,European,Italian
49,New York Fried Chicken And Burger,https://www.doordash.com/store/541682/?pickup=false,0.9,4.1,86,Branpton,$$,,
50,PizzaEdge,https://www.doordash.com/store/348807/?pickup=false,1.8,4,132,Branpton,$$,,
51,Hero Certified Burgers,https://www.doordash.com/store/205306/?pickup=false,2,4,1200,Branpton,$,,
52,BarBurrito,https://www.doordash.com/store/566973/?pickup=false,1.9,4.3,530,Branpton,$$,North American,Mexican
53,Freshly Thai,https://www.doordash.com/store/2855908/?pickup=false,0.06,4.7,30,Branpton,$$,Southeast Asian,Thai
54,KFC,https://www.doordash.com/store/973575/?pickup=false,0.8,4.3,242,Branpton,$,,
55,Popeyes Louisiana Kitchen,https://www.doordash.com/store/399190/?pickup=false,0.7,3.8,880,Branpton,$$,,
56,Trish Juice,https://www.doordash.com/store/205969/?pickup=false,0.01,4,131,Branpton,$$,,
57,Pizza Pizza,https://www.doordash.com/store/642880/?pickup=false,0.7,4.2,143,Branpton,$$,European,Italian
58,Royal Indian Sweets and Restaurant,https://www.doordash.com/store/1034606/?pickup=false,1.2,4.1,69,Branpton,$$,South Asian,Indian
59,SeaSide Eats (Resolution Dr),https://www.doordash.com/store/995784/?pickup=false,2,4.4,53,Branpton,$$,,
60,Chai Naka,https://www.doordash.com/store/1565102/?pickup=false,1.1,4.5,21,Branpton,$$,,
61,Vesuvio Ristorante,https://www.doordash.com/store/205973/?pickup=false,0.09,4.3,52,Branpton,$$$$,European,Italian
62,China Palace (CP),https://www.doordash.com/store/205301/?pickup=false,2.1,4,364,Branpton,$$,East Asian,Chinese
63,Grillz Spot,https://www.doordash.com/store/23121460/?pickup=false,1.1,4,1,Branpton,$$,,
64,Epic Burger,https://www.doordash.com/store/2352831/?pickup=false,0.7,4.2,1,Branpton,$$,,
65,Dosa Dosa Inc,https://www.doordash.com/store/2493044/?pickup=false,1.2,4.1,1,Branpton,$,South Asian,Indian
66,Family Pizza,https://www.doordash.com/store/205347/?pickup=false,2.5,3.8,25,Branpton,$$,European,Italian
67,The Wing Spot,https://www.doordash.com/store/1910756/?pickup=false,1.6,4.7,32,Branpton,$$,,
68,Royal Kabob,https://www.doordash.com/store/1866656/?pickup=false,1.2,4.4,65,Branpton,$,South Asian,Afghan
69,Hakka Spoon Inc,https://www.doordash.com/store/2828198/?pickup=false,0.8,4.2,67,Branpton,$$,East Asian,Chinese
70,Gentlemen Chai and Snacks,https://www.doordash.com/store/1423746/?pickup=false,0.9,4.2,97,Branpton,$$,,
71,Wild Wing,https://www.doordash.com/store/205219/?pickup=false,0.9,3.8,149,Branpton,$$,,
72,Heritage India,https://www.doordash.com/store/23026115/?pickup=false,1.2,4.2,1,Branpton,$$,,
73,Street Bitez,https://www.doordash.com/store/2466126/?pickup=false,1.6,4.2,88,Branpton,$$,,
